"STATION","NAME","DATE","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WSFG"
"USC00200230","ANN ARBOR U OF MICH, MI US","2023-01-01","0.14","0.0","0.0","45","33","44",
"USC00200230","ANN ARBOR U OF MICH, MI US","2023-01-02","0.00","0.0","0.0","44","33","39",
"USC00200230","ANN ARBOR U OF MICH, MI US","2023-01-03","0.40","0.0","0.0","42","33","41",
"USC00200230","ANN ARBOR U OF MICH, MI US","2023-01-04","0.20","0.0","0.0","56","41","44","32.0"
"USC00200230","ANN ARBOR U OF MICH, MI US","2023-01-05","0.04","0.0","0.0","44","34","34",
"USC00200230","ANN ARBOR U OF MICH, MI US","2023-01-06","0.05","0.2","0.0","36","32","34",
"USC00200230","ANN ARBOR U OF MICH, MI US","2023-01-07","0.03","0.4","0.0","34","30","30",
"USC00200230","ANN ARBOR U OF MICH, MI US","2023-01-08","0.00","0.0","0.0","31","28","29",
"USC00200230","ANN ARBOR U OF MICH, MI US","2023-01-09","0.00","0.0","0.0","41","25","35",
"USC00200230","ANN ARBOR U OF MICH, MI US","2023-01-10","0.00","0.0","0.0","37","23","36",
"USC00200230","ANN ARBOR U OF MICH, MI US","2023-01-11","0.00","0.0","0.0","45","27","40",
"USC00200230","ANN ARBOR U OF MICH, MI US","2023-01-12","0.00","0.0","0.0","42","35","35","33.1"
"USC00200230","ANN ARBOR U OF MICH, MI US","2023-01-13","0.00","0.1","0.0","35","26","26","32.0"
"USC00200230","ANN ARBOR U OF MICH, MI US","2023-01-14","0.00","0.0","0.0","31","16","25",
"USC00200230","ANN ARBOR U OF MICH, MI US","2023-01-15","0.00","0.0","0.0","37","13","29",
"USC00200230","ANN ARBOR U OF MICH, MI US","2023-01-16","0.07","0.0","0.0","37","21","33",
"USC00200230","ANN ARBOR U OF MICH, MI US","2023-01-17","0.22","0.0","0.0","46","33","39","31.1"
"USC00200230","ANN ARBOR U OF MICH, MI US","2023-01-18","0.03","0.0","0.0","40","37","37",
"USC00200230","ANN ARBOR U OF MICH, MI US","2023-01-19","0.41","0.0","0.0","46","35","44","38.9"
"USC00200230","ANN ARBOR U OF MICH, MI US","2023-01-20","0.30","0.0","0.0","44","34","34",
"USC00200230","ANN ARBOR U OF MICH, MI US","2023-01-21","0.00","0.0","0.0","34","30","31",
"USC00200230","ANN ARBOR U OF MICH, MI US","2023-01-22","0.16","2.0","2.0","34","28","31",
"USC00200230","ANN ARBOR U OF MICH, MI US","2023-01-23","0.05","0.6","2.0","33","27","28",
"USC00200230","ANN ARBOR U OF MICH, MI US","2023-01-24","0.00","0.0","1.0","40","25","32",
"USC00200230","ANN ARBOR U OF MICH, MI US","2023-01-25","0.67","8.6","9.0","32","25","31",
"USC00200230","ANN ARBOR U OF MICH, MI US","2023-01-26","0.05","0.5","8.0","33","28","31",
"USC00200230","ANN ARBOR U OF MICH, MI US","2023-01-27","0.08","1.4","8.0","31","20","27","38.9"
"USC00200230","ANN ARBOR U OF MICH, MI US","2023-01-28","0.03","0.5","7.0","36","22","28","38.9"
"USC00200230","ANN ARBOR U OF MICH, MI US","2023-01-29","0.09","0.6","6.0","31","27","28",
"USC00200230","ANN ARBOR U OF MICH, MI US","2023-01-30","0.03","0.4","6.0","28","19","19",
"USC00200230","ANN ARBOR U OF MICH, MI US","2023-01-31","0.00","0.0","5.0","20","-3","14",
